! Synthetic meteorological forcing — North Sea 59°N, 2000-2001
! Columns: datetime  u10[m/s]  v10[m/s]  airt[°C]  hum[%]  cloud[-]  swr[W/m²]
2000-02-14 00:00:00    7.605   -0.141    9.39   86.9  0.540    89.09
2000-02-15 00:00:00    7.987    0.041    9.50   86.8  0.538    91.65
2000-02-16 00:00:00    7.552   -0.565    9.61   86.7  0.536    94.26
2000-02-17 00:00:00    7.836   -0.180    9.72   86.7  0.535    96.92
2000-02-18 00:00:00    7.966   -0.334    9.83   86.6  0.533    99.63
2000-02-19 00:00:00    8.297   -0.461    9.94   86.5  0.532   102.39
2000-02-20 00:00:00    8.084   -0.346   10.05   86.5  0.530   105.20
2000-02-21 00:00:00    6.995   -0.743   10.17   86.4  0.528   108.05
2000-02-22 00:00:00    7.144    0.001   10.28   86.3  0.527   110.96
2000-02-23 00:00:00    7.592   -0.239   10.39   86.3  0.526   113.92
2000-02-24 00:00:00    5.961   -0.249   10.50   86.2  0.524   116.92
2000-02-25 00:00:00    7.390   -0.641   10.61   86.1  0.523   119.96
2000-02-26 00:00:00    6.762   -0.487   10.72   86.0  0.521   123.06
2000-02-27 00:00:00    7.900   -0.810   10.83   86.0  0.520   126.19
2000-02-28 00:00:00    6.786   -0.090   10.95   85.9  0.519   129.37
2000-02-29 00:00:00    6.738   -0.609   11.06   85.8  0.518   132.60
2000-03-01 00:00:00    6.971   -0.871   11.17   85.7  0.516   135.86
2000-03-02 00:00:00    6.992   -0.857   11.28   85.6  0.515   139.17
2000-03-03 00:00:00    7.284   -0.485   11.39   85.6  0.514   142.52
2000-03-04 00:00:00    7.942   -0.391   11.50   85.5  0.513   145.90
2000-03-05 00:00:00    7.442   -0.853   11.61   85.4  0.512   149.32
2000-03-06 00:00:00    6.656   -0.349   11.72   85.3  0.511   152.78
2000-03-07 00:00:00    7.548   -0.931   11.83   85.2  0.510   156.28
2000-03-08 00:00:00    7.127   -0.227   11.94   85.1  0.509   159.81
2000-03-09 00:00:00    7.355   -0.166   12.05   85.0  0.508   163.37
2000-03-10 00:00:00    6.570   -0.510   12.16   85.0  0.508   166.96
2000-03-11 00:00:00    5.876   -0.266   12.26   84.9  0.507   170.59
2000-03-12 00:00:00    6.359    0.312   12.37   84.8  0.506   174.24
2000-03-13 00:00:00    6.104   -0.165   12.48   84.7  0.505   177.92
2000-03-14 00:00:00    5.580   -0.346   12.58   84.6  0.505   181.63
2000-03-15 00:00:00    6.449    0.056   12.69   84.5  0.504   185.36
2000-03-16 00:00:00    6.996   -0.168   12.79   84.4  0.503   189.12
2000-03-17 00:00:00    5.666    0.021   12.90   84.3  0.503   192.90
2000-03-18 00:00:00    6.436    0.069   13.00   84.2  0.502   196.69
2000-03-19 00:00:00    5.780    0.301   13.10   84.1  0.502   200.51
2000-03-20 00:00:00    6.126    0.210   13.20   84.0  0.502   204.35
2000-03-21 00:00:00    6.671    0.222   13.31   83.9  0.501   208.20
2000-03-22 00:00:00    6.129    0.724   13.41   83.8  0.501   212.07
2000-03-23 00:00:00    6.059    0.028   13.51   83.7  0.501   215.95
2000-03-24 00:00:00    5.944    0.599   13.60   83.6  0.500   219.84
2000-03-25 00:00:00    5.898    0.347   13.70   83.5  0.500   223.74
2000-03-26 00:00:00    6.387    0.073   13.80   83.4  0.500   227.66
2000-03-27 00:00:00    4.876    0.351   13.89   83.3  0.500   231.57
2000-03-28 00:00:00    5.804    0.111   13.99   83.2  0.500   235.49
2000-03-29 00:00:00    6.074    0.507   14.08   83.1  0.500   239.42
2000-03-30 00:00:00    5.091    0.509   14.17   83.0  0.500   243.35
2000-03-31 00:00:00    5.440   -0.065   14.27   82.9  0.500   247.27
2000-04-01 00:00:00    5.714    0.391   14.36   82.8  0.500   251.20
2000-04-02 00:00:00    5.064    0.583   14.45   82.7  0.500   255.12
2000-04-03 00:00:00    5.629    0.272   14.53   82.6  0.501   259.04
2000-04-04 00:00:00    5.534    0.766   14.62   82.5  0.501   262.95
2000-04-05 00:00:00    4.927    0.590   14.71   82.4  0.501   266.85
2000-04-06 00:00:00    5.233    1.166   14.79   82.3  0.502   270.74
2000-04-07 00:00:00    4.249    0.702   14.87   82.2  0.502   274.62
2000-04-08 00:00:00    4.976    0.468   14.96   82.1  0.502   278.49
2000-04-09 00:00:00    6.028    0.497   15.04   82.0  0.503   282.34
2000-04-10 00:00:00    6.146    0.366   15.12   81.9  0.503   286.17
2000-04-11 00:00:00    5.150    0.347   15.19   81.8  0.504   289.98
2000-04-12 00:00:00    4.577    0.505   15.27   81.7  0.505   293.78
2000-04-13 00:00:00    4.730    0.536   15.35   81.6  0.505   297.55
2000-04-14 00:00:00    3.767    1.063   15.42   81.5  0.506   301.30
2000-04-15 00:00:00    4.685    0.968   15.49   81.4  0.507   305.02
2000-04-16 00:00:00    4.214    0.514   15.56   81.3  0.508   308.71
2000-04-17 00:00:00    6.248    0.144   15.63   81.2  0.508   312.38
2000-04-18 00:00:00    3.867    0.216   15.70   81.1  0.509   316.01
2000-04-19 00:00:00    4.800    0.562   15.77   81.0  0.510   319.61
2000-04-20 00:00:00    5.158    0.248   15.83   80.9  0.511   323.18
2000-04-21 00:00:00    3.661    0.163   15.89   80.8  0.512   326.71
2000-04-22 00:00:00    5.032    0.401   15.95   80.7  0.513   330.20
2000-04-23 00:00:00    3.383    0.216   16.01   80.6  0.514   333.66
2000-04-24 00:00:00    5.010    0.829   16.07   80.5  0.515   337.07
2000-04-25 00:00:00    4.542    0.247   16.13   80.4  0.516   340.44
2000-04-26 00:00:00    3.591   -0.136   16.18   80.3  0.518   343.76
2000-04-27 00:00:00    4.185    0.229   16.24   80.2  0.519   347.04
2000-04-28 00:00:00    4.402   -0.104   16.29   80.1  0.520   350.27
2000-04-29 00:00:00    3.487   -0.233   16.34   80.0  0.521   353.46
2000-04-30 00:00:00    3.436    0.154   16.39   79.9  0.523   356.59
2000-05-01 00:00:00    2.810   -0.178   16.43   79.8  0.524   359.67
2000-05-02 00:00:00    4.143    0.340   16.48   79.7  0.526   362.69
2000-05-03 00:00:00    3.905    0.146   16.52   79.6  0.527   365.66
2000-05-04 00:00:00    3.623   -0.415   16.56   79.5  0.528   368.57
2000-05-05 00:00:00    3.438    0.231   16.60   79.4  0.530   371.42
2000-05-06 00:00:00    4.225   -0.115   16.64   79.3  0.532   374.22
2000-05-07 00:00:00    5.347   -0.304   16.67   79.2  0.533   376.95
2000-05-08 00:00:00    3.946   -0.232   16.71   79.1  0.535   379.62
2000-05-09 00:00:00    3.479    0.341   16.74   79.0  0.536   382.22
2000-05-10 00:00:00    4.298   -0.800   16.77   79.0  0.538   384.76
2000-05-11 00:00:00    3.300   -0.276   16.80   78.9  0.540   387.23
2000-05-12 00:00:00    3.847   -0.831   16.83   78.8  0.542   389.63
2000-05-13 00:00:00    2.284   -1.017   16.85   78.7  0.543   391.96
2000-05-14 00:00:00    3.333   -0.493   16.87   78.6  0.545   394.22
2000-05-15 00:00:00    3.498   -0.706   16.89   78.5  0.547   396.40
2000-05-16 00:00:00    2.671   -1.093   16.91   78.4  0.549   398.51
2000-05-17 00:00:00    3.405   -0.383   16.93   78.4  0.551   400.55
2000-05-18 00:00:00    3.696   -0.261   16.95   78.3  0.553   402.51
2000-05-19 00:00:00    3.063   -0.095   16.96   78.2  0.555   404.39
2000-05-20 00:00:00    3.050   -0.697   16.97   78.1  0.557   406.19
2000-05-21 00:00:00    2.818   -0.669   16.98   78.0  0.559   407.91
2000-05-22 00:00:00    1.956   -0.439   16.99   78.0  0.561   409.56
2000-05-23 00:00:00    3.125   -0.584   16.99   77.9  0.563   411.11
2000-05-24 00:00:00    2.605   -0.350   17.00   77.8  0.565   412.59
2000-05-25 00:00:00    3.783   -0.434   17.00   77.7  0.567   413.98
2000-05-26 00:00:00    2.634   -0.604   17.00   77.7  0.569   415.28
2000-05-27 00:00:00    2.817   -0.784   17.00   77.6  0.572   416.50
2000-05-28 00:00:00    2.753   -0.362   16.99   77.5  0.574   417.63
2000-05-29 00:00:00    3.703   -0.071   16.99   77.5  0.576   418.68
2000-05-30 00:00:00    3.264   -0.539   16.98   77.4  0.578   419.63
2000-05-31 00:00:00    3.048   -0.636   16.97   77.3  0.581   420.50
2000-06-01 00:00:00    2.836   -0.136   16.96   77.3  0.583   421.27
2000-06-02 00:00:00    2.264    0.373   16.95   77.2  0.585   421.96
2000-06-03 00:00:00    2.900   -0.762   16.93   77.1  0.588   422.55
2000-06-04 00:00:00    2.862   -0.277   16.91   77.1  0.590   423.05
2000-06-05 00:00:00    2.556    0.023   16.89   77.0  0.592   423.46
2000-06-06 00:00:00    2.721   -0.690   16.87   77.0  0.595   423.78
2000-06-07 00:00:00    1.918    0.193   16.85   76.9  0.597   424.01
2000-06-08 00:00:00    3.119    0.571   16.83   76.9  0.600   424.14
2000-06-09 00:00:00    3.343   -0.577   16.80   76.8  0.602   424.17
2000-06-10 00:00:00    2.800   -0.497   16.77   76.8  0.604   424.12
2000-06-11 00:00:00    3.196    0.193   16.74   76.7  0.607   423.97
2000-06-12 00:00:00    1.794    0.757   16.71   76.7  0.609   423.73
2000-06-13 00:00:00    2.662   -0.376   16.67   76.6  0.612   423.40
2000-06-14 00:00:00    2.463    0.008   16.64   76.6  0.614   422.97
2000-06-15 00:00:00    2.350    0.122   16.60   76.5  0.617   422.45
2000-06-16 00:00:00    2.959   -0.133   16.56   76.5  0.619   421.83
2000-06-17 00:00:00    2.410    0.869   16.52   76.4  0.622   421.13
2000-06-18 00:00:00    1.817    0.417   16.48   76.4  0.624   420.33
2000-06-19 00:00:00    2.312    0.173   16.43   76.4  0.627   419.44
2000-06-20 00:00:00    2.517    0.434   16.39   76.3  0.629   418.47
2000-06-21 00:00:00    1.703    0.955   16.34   76.3  0.632   417.40
2000-06-22 00:00:00    2.554    0.395   16.29   76.3  0.635   416.24
2000-06-23 00:00:00    1.824    0.227   16.24   76.2  0.637   415.00
2000-06-24 00:00:00    2.742    0.432   16.18   76.2  0.640   413.67
2000-06-25 00:00:00    2.342    0.431   16.13   76.2  0.642   412.25
2000-06-26 00:00:00    2.407    0.459   16.07   76.2  0.645   410.75
2000-06-27 00:00:00    2.468    0.443   16.01   76.1  0.647   409.16
2000-06-28 00:00:00    2.489    0.702   15.95   76.1  0.650   407.49
2000-06-29 00:00:00    2.005    0.241   15.89   76.1  0.653   405.74
2000-06-30 00:00:00    1.583    0.272   15.83   76.1  0.655   403.91
2000-07-01 00:00:00    1.552    0.746   15.77   76.1  0.658   402.00
2000-07-02 00:00:00    2.012    0.947   15.70   76.0  0.660   400.01
2000-07-03 00:00:00    3.168    0.469   15.63   76.0  0.663   397.95
2000-07-04 00:00:00    1.248    0.331   15.56   76.0  0.665   395.81
2000-07-05 00:00:00    1.978   -0.020   15.49   76.0  0.668   393.60
2000-07-06 00:00:00    1.886    0.491   15.42   76.0  0.671   391.32
2000-07-07 00:00:00    1.777    0.150   15.35   76.0  0.673   388.97
2000-07-08 00:00:00    1.625    0.890   15.27   76.0  0.676   386.55
2000-07-09 00:00:00    1.922    0.076   15.19   76.0  0.678   384.06
2000-07-10 00:00:00    1.814    0.580   15.12   76.0  0.681   381.51
2000-07-11 00:00:00    1.658    0.406   15.04   76.0  0.683   378.90
2000-07-12 00:00:00    2.364    0.452   14.96   76.0  0.686   376.23
2000-07-13 00:00:00    2.702    0.026   14.87   76.0  0.688   373.50
2000-07-14 00:00:00    2.570   -0.083   14.79   76.0  0.691   370.71
2000-07-15 00:00:00    1.809    0.476   14.71   76.0  0.693   367.87
2000-07-16 00:00:00    2.422    0.079   14.62   76.0  0.696   364.98
2000-07-17 00:00:00    1.420    0.208   14.53   76.0  0.698   362.03
2000-07-18 00:00:00    1.706   -0.277   14.45   76.1  0.700   359.04
2000-07-19 00:00:00    1.704    0.035   14.36   76.1  0.703   356.00
2000-07-20 00:00:00    0.975    0.030   14.27   76.1  0.705   352.91
2000-07-21 00:00:00    2.131   -0.292   14.17   76.1  0.708   349.78
2000-07-22 00:00:00    2.572    0.029   14.08   76.1  0.710   346.61
2000-07-23 00:00:00    1.760   -0.392   13.99   76.2  0.712   343.41
2000-07-24 00:00:00    2.422   -0.682   13.89   76.2  0.715   340.16
2000-07-25 00:00:00    1.920   -0.451   13.80   76.2  0.717   336.88
2000-07-26 00:00:00    2.134   -0.231   13.70   76.2  0.719   333.57
2000-07-27 00:00:00    2.131    0.016   13.60   76.3  0.722   330.23
2000-07-28 00:00:00    2.241   -0.448   13.51   76.3  0.724   326.85
2000-07-29 00:00:00    1.537   -0.164   13.41   76.3  0.726   323.45
2000-07-30 00:00:00    2.422    0.031   13.31   76.4  0.728   320.03
2000-07-31 00:00:00    1.801   -0.418   13.20   76.4  0.731   316.58
2000-08-01 00:00:00    2.164   -0.472   13.10   76.4  0.733   313.11
2000-08-02 00:00:00    2.217   -0.976   13.00   76.5  0.735   309.63
2000-08-03 00:00:00    2.643   -0.280   12.90   76.5  0.737   306.12
2000-08-04 00:00:00    2.816    0.189   12.79   76.6  0.739   302.60
2000-08-05 00:00:00    2.113   -0.505   12.69   76.6  0.741   299.07
2000-08-06 00:00:00    2.299    0.084   12.58   76.7  0.743   295.52
2000-08-07 00:00:00    1.451   -0.354   12.48   76.7  0.745   291.97
2000-08-08 00:00:00    1.605   -1.273   12.37   76.8  0.747   288.40
2000-08-09 00:00:00    1.354   -0.908   12.26   76.8  0.749   284.83
2000-08-10 00:00:00    2.924   -0.747   12.16   76.9  0.751   281.26
2000-08-11 00:00:00    2.301   -0.825   12.05   76.9  0.753   277.68
2000-08-12 00:00:00    2.747   -0.793   11.94   77.0  0.755   274.10
2000-08-13 00:00:00    3.127   -0.743   11.83   77.0  0.757   270.52
2000-08-14 00:00:00    2.114   -0.389   11.72   77.1  0.758   266.94
2000-08-15 00:00:00    2.538    0.023   11.61   77.1  0.760   263.36
2000-08-16 00:00:00    2.615   -0.743   11.50   77.2  0.762   259.79
2000-08-17 00:00:00    2.305   -0.525   11.39   77.3  0.764   256.22
2000-08-18 00:00:00    2.979   -0.210   11.28   77.3  0.765   252.66
2000-08-19 00:00:00    2.588   -0.033   11.17   77.4  0.767   249.11
2000-08-20 00:00:00    2.416   -0.302   11.06   77.5  0.768   245.57
2000-08-21 00:00:00    2.803    0.231   10.95   77.5  0.770   242.04
2000-08-22 00:00:00    2.697   -0.297   10.83   77.6  0.772   238.52
2000-08-23 00:00:00    2.258    0.051   10.72   77.7  0.773   235.02
2000-08-24 00:00:00    2.522   -0.014   10.61   77.7  0.774   231.53
2000-08-25 00:00:00    1.901    0.235   10.50   77.8  0.776   228.06
2000-08-26 00:00:00    2.222   -0.272   10.39   77.9  0.777   224.60
2000-08-27 00:00:00    3.454   -0.400   10.28   78.0  0.779   221.16
2000-08-28 00:00:00    2.922    0.062   10.17   78.0  0.780   217.74
2000-08-29 00:00:00    2.501    0.481   10.05   78.1  0.781   214.34
2000-08-30 00:00:00    3.788   -0.475    9.94   78.2  0.782   210.96
2000-08-31 00:00:00    2.354    0.397    9.83   78.3  0.784   207.60
2000-09-01 00:00:00    2.467    0.075    9.72   78.4  0.785   204.26
2000-09-02 00:00:00    3.223    0.435    9.61   78.4  0.786   200.95
2000-09-03 00:00:00    3.088    0.290    9.50   78.5  0.787   197.66
2000-09-04 00:00:00    2.852    0.682    9.39   78.6  0.788   194.39
2000-09-05 00:00:00    3.035    0.427    9.28   78.7  0.789   191.15
2000-09-06 00:00:00    3.069    0.385    9.17   78.8  0.790   187.94
2000-09-07 00:00:00    3.284    0.331    9.06   78.9  0.791   184.75
2000-09-08 00:00:00    2.905    0.643    8.95   79.0  0.792   181.59
2000-09-09 00:00:00    4.163    0.499    8.84   79.0  0.792   178.46
2000-09-10 00:00:00    3.866    0.697    8.74   79.1  0.793   175.35
2000-09-11 00:00:00    4.009    0.553    8.63   79.2  0.794   172.28
2000-09-12 00:00:00    3.696    0.735    8.52   79.3  0.795   169.23
2000-09-13 00:00:00    3.670    0.194    8.42   79.4  0.795   166.21
2000-09-14 00:00:00    3.694   -0.073    8.31   79.5  0.796   163.22
2000-09-15 00:00:00    3.725    0.622    8.21   79.6  0.797   160.26
2000-09-16 00:00:00    4.393    0.545    8.10   79.7  0.797   157.33
2000-09-17 00:00:00    4.286    0.498    8.00   79.8  0.798   154.43
2000-09-18 00:00:00    3.358    0.070    7.90   79.9  0.798   151.56
2000-09-19 00:00:00    3.433    0.076    7.80   80.0  0.798   148.73
2000-09-20 00:00:00    4.283    0.413    7.69   80.1  0.799   145.92
2000-09-21 00:00:00    4.300    0.484    7.59   80.2  0.799   143.15
2000-09-22 00:00:00    4.585    0.764    7.49   80.3  0.799   140.40
2000-09-23 00:00:00    3.790    0.344    7.40   80.4  0.800   137.69
2000-09-24 00:00:00    3.895   -0.082    7.30   80.5  0.800   135.01
2000-09-25 00:00:00    4.549    0.737    7.20   80.6  0.800   132.36
2000-09-26 00:00:00    4.258    0.206    7.11   80.7  0.800   129.75
2000-09-27 00:00:00    4.856   -0.379    7.01   80.8  0.800   127.16
2000-09-28 00:00:00    4.450    0.337    6.92   80.9  0.800   124.61
2000-09-29 00:00:00    4.126    0.679    6.83   81.0  0.800   122.09
2000-09-30 00:00:00    4.948    0.149    6.73   81.1  0.800   119.60
2000-10-01 00:00:00    4.470    0.075    6.64   81.2  0.800   117.15
2000-10-02 00:00:00    4.308   -0.238    6.55   81.3  0.800   114.72
2000-10-03 00:00:00    5.305    0.425    6.47   81.4  0.799   112.33
2000-10-04 00:00:00    5.065   -0.250    6.38   81.5  0.799   109.97
2000-10-05 00:00:00    5.758    0.633    6.29   81.6  0.799   107.64
2000-10-06 00:00:00    4.863   -0.271    6.21   81.7  0.798   105.35
2000-10-07 00:00:00    4.387    0.086    6.13   81.8  0.798   103.09
2000-10-08 00:00:00    4.415   -0.088    6.04   81.9  0.798   100.86
2000-10-09 00:00:00    5.467   -0.569    5.96   82.0  0.797    98.66
2000-10-10 00:00:00    5.977    0.316    5.88   82.1  0.797    96.49
2000-10-11 00:00:00    4.407   -0.615    5.81   82.2  0.796    94.36
2000-10-12 00:00:00    4.936   -0.536    5.73   82.3  0.795    92.26
2000-10-13 00:00:00    4.997   -1.036    5.65   82.4  0.795    90.19
2000-10-14 00:00:00    5.066    0.247    5.58   82.5  0.794    88.15
2000-10-15 00:00:00    4.673   -0.407    5.51   82.6  0.793    86.14
2000-10-16 00:00:00    4.538   -0.162    5.44   82.7  0.792    84.17
2000-10-17 00:00:00    5.221    0.202    5.37   82.8  0.792    82.23
2000-10-18 00:00:00    5.489   -0.516    5.30   82.9  0.791    80.32
2000-10-19 00:00:00    5.711   -0.578    5.23   83.0  0.790    78.44
2000-10-20 00:00:00    4.817   -0.355    5.17   83.1  0.789    76.59
2000-10-21 00:00:00    5.450   -0.412    5.11   83.2  0.788    74.78
2000-10-22 00:00:00    5.776   -0.629    5.05   83.3  0.787    73.00
2000-10-23 00:00:00    5.850    0.035    4.99   83.4  0.786    71.24
2000-10-24 00:00:00    5.135    0.027    4.93   83.5  0.785    69.53
2000-10-25 00:00:00    5.618   -0.728    4.87   83.6  0.784    67.84
2000-10-26 00:00:00    7.002   -0.453    4.82   83.7  0.782    66.18
2000-10-27 00:00:00    6.524   -0.253    4.76   83.8  0.781    64.56
2000-10-28 00:00:00    5.047   -0.458    4.71   83.9  0.780    62.97
2000-10-29 00:00:00    5.674   -0.889    4.66   84.0  0.779    61.41
2000-10-30 00:00:00    5.100   -0.445    4.61   84.1  0.777    59.88
2000-10-31 00:00:00    6.329   -0.345    4.57   84.2  0.776    58.39
2000-11-01 00:00:00    5.929   -0.685    4.52   84.3  0.774    56.92
2000-11-02 00:00:00    5.637   -0.593    4.48   84.4  0.773    55.49
2000-11-03 00:00:00    5.661   -0.465    4.44   84.5  0.772    54.09
2000-11-04 00:00:00    6.213   -0.649    4.40   84.6  0.770    52.72
2000-11-05 00:00:00    6.156   -0.582    4.36   84.7  0.768    51.39
2000-11-06 00:00:00    6.316   -0.173    4.33   84.8  0.767    50.08
2000-11-07 00:00:00    6.453   -0.152    4.29   84.9  0.765    48.81
2000-11-08 00:00:00    5.584   -0.375    4.26   85.0  0.764    47.57
2000-11-09 00:00:00    6.594   -0.035    4.23   85.0  0.762    46.36
2000-11-10 00:00:00    5.701   -0.144    4.20   85.1  0.760    45.18
2000-11-11 00:00:00    7.148   -0.208    4.17   85.2  0.758    44.03
2000-11-12 00:00:00    6.541    0.018    4.15   85.3  0.757    42.92
2000-11-13 00:00:00    6.755    0.124    4.13   85.4  0.755    41.83
2000-11-14 00:00:00    6.711    0.007    4.11   85.5  0.753    40.78
2000-11-15 00:00:00    6.326   -0.051    4.09   85.6  0.751    39.76
2000-11-16 00:00:00    7.386   -0.022    4.07   85.6  0.749    38.77
2000-11-17 00:00:00    6.716   -0.069    4.05   85.7  0.747    37.81
2000-11-18 00:00:00    7.235   -0.140    4.04   85.8  0.745    36.89
2000-11-19 00:00:00    7.337   -0.127    4.03   85.9  0.743    35.99
2000-11-20 00:00:00    6.393    0.253    4.02   86.0  0.741    35.13
2000-11-21 00:00:00    7.026    0.316    4.01   86.0  0.739    34.30
2000-11-22 00:00:00    7.531    0.138    4.01   86.1  0.737    33.50
2000-11-23 00:00:00    7.259    0.021    4.00   86.2  0.735    32.72
2000-11-24 00:00:00    7.705    0.514    4.00   86.3  0.733    31.98
2000-11-25 00:00:00    7.380    0.410    4.00   86.3  0.731    31.27
2000-11-26 00:00:00    6.756    0.282    4.00   86.4  0.728    30.60
2000-11-27 00:00:00    7.435    0.399    4.01   86.5  0.726    29.95
2000-11-28 00:00:00    7.281    0.018    4.01   86.5  0.724    29.33
2000-11-29 00:00:00    7.344    0.238    4.02   86.6  0.722    28.74
2000-11-30 00:00:00    6.745    0.416    4.03   86.7  0.719    28.18
2000-12-01 00:00:00    6.392    0.685    4.04   86.7  0.717    27.66
2000-12-02 00:00:00    7.778    0.470    4.05   86.8  0.715    27.16
2000-12-03 00:00:00    6.887    0.210    4.07   86.9  0.712    26.69
2000-12-04 00:00:00    7.339   -0.229    4.09   86.9  0.710    26.26
2000-12-05 00:00:00    7.535    0.699    4.11   87.0  0.708    25.85
2000-12-06 00:00:00    7.319    0.350    4.13   87.0  0.705    25.47
2000-12-07 00:00:00    7.594    0.599    4.15   87.1  0.703    25.12
2000-12-08 00:00:00    8.078    0.492    4.17   87.1  0.700    24.80
2000-12-09 00:00:00    7.214    0.337    4.20   87.2  0.698    24.51
2000-12-10 00:00:00    7.676    0.929    4.23   87.2  0.696    24.25
2000-12-11 00:00:00    7.451    0.130    4.26   87.3  0.693    24.02
2000-12-12 00:00:00    7.201   -0.203    4.29   87.3  0.691    23.82
2000-12-13 00:00:00    7.825   -0.004    4.33   87.4  0.688    23.65
2000-12-14 00:00:00    7.067   -0.213    4.36   87.4  0.686    23.51
2000-12-15 00:00:00    7.147    0.524    4.40   87.5  0.683    23.40
2000-12-16 00:00:00    7.072   -0.200    4.44   87.5  0.681    23.32
2000-12-17 00:00:00    7.838    0.192    4.48   87.6  0.678    23.27
2000-12-18 00:00:00    7.985    0.483    4.52   87.6  0.676    23.25
2000-12-19 00:00:00    7.784   -0.162    4.57   87.6  0.673    23.26
2000-12-20 00:00:00    7.745    0.341    4.61   87.7  0.671    23.30
2000-12-21 00:00:00    7.533   -0.277    4.66   87.7  0.668    23.37
2000-12-22 00:00:00    8.393   -0.008    4.71   87.7  0.665    23.48
2000-12-23 00:00:00    7.653    0.083    4.76   87.8  0.663    23.61
2000-12-24 00:00:00    8.388    0.118    4.82   87.8  0.660    23.78
2000-12-25 00:00:00    7.721    0.205    4.87   87.8  0.658    23.98
2000-12-26 00:00:00    8.975    0.377    4.93   87.8  0.655    24.21
2000-12-27 00:00:00    8.250   -0.415    4.99   87.9  0.653    24.47
2000-12-28 00:00:00    9.802   -0.476    5.05   87.9  0.650    24.77
2000-12-29 00:00:00    7.751   -0.364    5.11   87.9  0.647    25.10
2000-12-30 00:00:00    8.760   -0.065    5.17   87.9  0.645    25.46
2000-12-31 00:00:00    7.242   -0.147    5.23   87.9  0.642    25.86
2001-01-01 00:00:00    8.238   -0.056    5.29   87.9  0.641    26.18
2001-01-02 00:00:00    7.362   -0.139    5.36   88.0  0.638    26.65
2001-01-03 00:00:00    7.760    0.124    5.43   88.0  0.636    27.15
